title,description,unit_type,rental_mode,price,room_price,bed_price,city,district,address,distance_to_university,nearby_universities,num_rooms,num_beds,num_bathrooms,gender_preference,has_internet,has_water,has_electricity,has_gas,has_ac,min_stay_months,max_stay_months,status,landlord_username
Shared Room at Sheikh Zayed,"Rent billed monthly. Nearby: Church, Hospital / Medical Center, Mosque, Pharmacy, ATM, Public Transport Station. Room breakdown — Room 1 (Triple): Mini Fridge, AC, Iron & Ironing Board, Mirror, Wardrobe",room,,,4250,,Ismailia,Sheikh Zayed,"El Share3 El Tegari, 3emara 110 - Ganb Gam3 Badr",4.28 km,Suez Canal University,1,3,1,any,True,True,False,True,False,1,,available,imported_ismailia_listings
Studio at Arishiyat Misr,"Rent billed semester. Nearby: Gym, Mosque, ATM, Dry Clean / Laundry, Restaurants & Cafes, Public Transport Station. Room breakdown — Room 1 (Double): Wardrobe, Fan, Window / View, Mirror",apartment,whole_apartment,16700,,,Ismailia,Arishiyat Misr,"Portsaid St, 3emara 80 - Odam Gam3 Abu Bakr El Seddik",5.79 km,Suez Canal University,1,2,1,any,False,True,True,True,False,4,,available,imported_ismailia_listings
Shared Room at Arishiyat Misr,"Rent billed semester. Nearby: Church, Mosque, Dry Clean / Laundry, Restaurants & Cafes, Pharmacy, Public Transport Station. Room breakdown — Room 1 (Triple): Mini Fridge, AC, Iron & Ironing Board, Mirror, Wardrobe",room,,,22100,,Ismailia,Arishiyat Misr,"Portsaid St, 3emara 80 - Odam Gam3 Abu Bakr El Seddik",5.98 km,Suez Canal University,1,3,1,any,False,True,True,True,False,4,,available,imported_ismailia_listings
Studio at Sheikh Zayed,"Rent billed monthly. Nearby: ATM, Hospital / Medical Center, Supermarket / Grocery, Restaurants & Cafes, Pharmacy, Public Transport Station. Room breakdown — Room 1 (Double): Private Bath, Balcony, Fan, Mirror",apartment,whole_apartment,4200,,,Ismailia,Sheikh Zayed,"El Kakola St, 3emara 14 - Ganb Madkhal Ard El Gam3eyat",4.06 km,Suez Canal University,1,2,1,any,True,True,False,True,True,1,,available,imported_ismailia_listings
Apartment at The Stadium,"Rent billed monthly. Nearby: Bakery, Pharmacy, Restaurants & Cafes, Dry Clean / Laundry, Gym, ATM. Room breakdown — Room 1 (Double): Wardrobe, Fan, Window / View, Mirror | Room 2 (Double): Wardrobe, Fan, Window / View, Mirror | Room 3 (Double): AC, Desk, Iron & Ironing Board, Mirror",apartment,whole_apartment,5800,,,Ismailia,The Stadium,"3emara 12, Reda St",3.7 km,Suez Canal University,3,6,1,any,True,True,True,False,False,1,,available,imported_ismailia_listings
Apartment at El Khamssa,"Rent billed semester. Nearby: Dry Clean / Laundry, Public Transport Station, Church, ATM, Hospital / Medical Center, Mosque. Room breakdown — Room 1 (Double): Balcony, Private Bath, Mirror, Private TV | Room 2 (Single): Balcony, Mirror, Wardrobe, Private TV | Room 3 (Single): Private Bath, Mirror, Desk, Window / View | Room 4 (Single): AC, Wardrobe, Mirror, Window / View",apartment,whole_apartment,34700,,,Ismailia,El Khamssa,"El 500 Wahda, 3emara 12 - Odam Saydaleyet El Salam",1.74 km,Suez Canal University,4,5,1,any,False,True,True,True,False,4,,available,imported_ismailia_listings
Studio at Shebin,"Rent billed monthly. Nearby: Mosque, Restaurants & Cafes, Pharmacy, Public Transport Station, Supermarket / Grocery, Gym. Room breakdown — Room 1 (Single): Mini Fridge, Private TV, Wardrobe, Desk",apartment,whole_apartment,3600,,,Ismailia,Shebin,El Salam Tower - Nassyet Shebin,1.4 km,Suez Canal University,1,1,1,any,True,True,True,False,True,1,,available,imported_ismailia_listings
Studio at Sheikh Zayed,"Rent billed monthly. Nearby: ATM, Hospital / Medical Center, Pharmacy, Public Transport Station, Gym, Restaurants & Cafes. Room breakdown — Room 1 (Double): Wardrobe, Fan, Window / View, Mirror",apartment,whole_apartment,4500,,,Ismailia,Sheikh Zayed,"El Herfeyeen St, 3emara 7 - Wara Nadi El Montazah",3.2 km,Suez Canal University,1,2,1,any,True,True,True,False,True,1,,available,imported_ismailia_listings
Studio at Shebin,"Rent billed monthly. Nearby: ATM, Restaurants & Cafes, Pharmacy, Dry Clean / Laundry, Church, Gym. Room breakdown — Room 1 (Single): Balcony, Mirror, Wardrobe, Private TV",apartment,whole_apartment,3800,,,Ismailia,Shebin,El Salam Tower - Nassyet Shebin,1.21 km,Suez Canal University,1,1,1,any,True,True,False,True,False,1,,available,imported_ismailia_listings
Apartment at Sheikh Zayed,"Rent billed semester. Nearby: Gym, Pharmacy, Supermarket / Grocery, Mosque, ATM, Restaurants & Cafes. Room breakdown — Room 1 (Triple): Mini Fridge, AC, Iron & Ironing Board, Mirror, Wardrobe | Room 2 (Double): Private Bath, Private TV, Desk, Wardrobe",apartment,whole_apartment,29650,,,Ismailia,Sheikh Zayed,"El Qamash St, 3emara 9 - Wara El Share3 El Tegari",3.38 km,Suez Canal University,2,5,1,any,True,True,False,True,False,4,,available,imported_ismailia_listings
Apartment at The Stadium,"Rent billed monthly. Nearby: ATM, Public Transport Station, Pharmacy, Restaurants & Cafes, Hospital / Medical Center, Supermarket / Grocery. Room breakdown — Room 1 (Double): Balcony, Private Bath, Mirror, Private TV | Room 2 (Single): AC, Wardrobe, Mirror, Window / View | Room 3 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View",apartment,whole_apartment,5100,,,Ismailia,The Stadium,"El Madares St, Al-Nour Tower - Ganb Madraset El Loghat",4.27 km,Suez Canal University,3,4,1,any,True,True,False,True,False,1,,available,imported_ismailia_listings
Shared Room at The Stadium,"Rent billed semester. Nearby: Supermarket / Grocery, Public Transport Station, Hospital / Medical Center, Pharmacy, Dry Clean / Laundry, Restaurants & Cafes. Room breakdown — Room 1 (Triple): Study Desk & Chair, Mini Fridge, AC, Mirror, Private TV",room,,,18100,,Ismailia,The Stadium,El Madares St - Ganb Madraset Taffiti,4.37 km,Suez Canal University,1,3,1,any,False,True,True,True,True,4,,available,imported_ismailia_listings
Apartment at The Stadium,"Rent billed semester. Nearby: Supermarket / Grocery, Mosque, Dry Clean / Laundry, Church, Bakery, Hospital / Medical Center. Room breakdown — Room 1 (Single): Wardrobe, Mirror, Window / View, Desk | Room 2 (Single): Private Bath, Mirror, Desk, Window / View | Room 3 (Single): AC, Wardrobe, Mirror, Window / View | Room 4 (Single): AC, Wardrobe, Mirror, Window / View",apartment,whole_apartment,23800,,,Ismailia,The Stadium,"El Madares St, Al-Nour Tower - Ganb Madraset El Loghat",3.75 km,Suez Canal University,4,4,1,any,True,True,True,False,True,4,,available,imported_ismailia_listings
Studio at El Eshreeni,"Rent billed monthly. Nearby: Gym, Dry Clean / Laundry, Hospital / Medical Center, ATM, Mosque, Supermarket / Grocery. Room breakdown — Room 1 (Double): Mini Fridge, Mirror, Desk, Window / View",apartment,whole_apartment,5250,,,Ismailia,El Eshreeni,El Eshreeni St x Hoda Shaarawy - Odam Kheir Zaman,1.32 km,Suez Canal University,1,2,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Apartment at El Thalatini,"Rent billed semester. Nearby: Hospital / Medical Center, Restaurants & Cafes, Church, Gym, ATM, Dry Clean / Laundry. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Wardrobe | Room 2 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View | Room 3 (Single): Wardrobe, Mirror, Window / View, Desk",apartment,whole_apartment,25800,,,Ismailia,El Thalatini,"3emara 90, El Thalatini St - Ganb Maw2af El Ferdaws",5.38 km,Suez Canal University,3,4,1,any,True,True,True,False,True,4,,available,imported_ismailia_listings
Apartment at El Khamssa,"Rent billed monthly. Nearby: Supermarket / Grocery, Pharmacy, Dry Clean / Laundry, Mosque, Public Transport Station, Restaurants & Cafes. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Mirror | Room 2 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View | Room 3 (Single): Balcony, Mirror, Wardrobe, Private TV | Room 4 (Single): Study Desk & Chair, Iron & Ironing Board, Private TV",apartment,whole_apartment,7650,,,Ismailia,El Khamssa,"El Technology St, 3emara 15 - Wara El Ma3had El Fanni",0.88 km,Suez Canal University,4,5,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Apartment at Sheikh Zayed,"Rent billed monthly. Nearby: ATM, Mosque, Gym, Church, Public Transport Station, Supermarket / Grocery. Room breakdown — Room 1 (Double): Private Bath, Private TV, Desk, Wardrobe | Room 2 (Double): Balcony, Private Bath, Mirror, Private TV | Room 3 (Single): Balcony, Mirror, Wardrobe, Private TV",apartment,whole_apartment,6450,,,Ismailia,Sheikh Zayed,"El Herfeyeen St, 3emara 7 - Wara Nadi El Montazah",3.79 km,Suez Canal University,3,5,1,any,True,True,False,True,True,1,,available,imported_ismailia_listings
Apartment at El Khamssa,"Rent billed monthly. Nearby: Gym, Pharmacy, Bakery, Supermarket / Grocery, Dry Clean / Laundry, Church. Room breakdown — Room 1 (Single): Study Desk & Chair, Iron & Ironing Board, Private TV | Room 2 (Single): Private Bath, Mirror, Desk, Window / View | Room 3 (Single): Balcony, Mirror, Wardrobe, Private TV | Room 4 (Single): Wardrobe, Mirror, Window / View, Desk",apartment,whole_apartment,6100,,,Ismailia,El Khamssa,"El 500 Wahda, 3emara 12 - Odam Saydaleyet El Salam",1.11 km,Suez Canal University,4,4,1,any,True,True,True,False,True,1,,available,imported_ismailia_listings
Studio at El Mamar,"Rent billed monthly. Nearby: Gym, Public Transport Station, Bakery, ATM, Church, Supermarket / Grocery. Room breakdown — Room 1 (Double): Mini Fridge, Mirror, Desk, Window / View",apartment,whole_apartment,4350,,,Ismailia,El Mamar,"Maydan El Mahatta, Misr Travel Bldg - Floor 2",4.78 km,Suez Canal University,1,2,1,any,True,True,False,True,False,1,,available,imported_ismailia_listings
Studio at The Stadium,"Rent billed monthly. Nearby: ATM, Dry Clean / Laundry, Restaurants & Cafes, Mosque, Church, Bakery. Room breakdown — Room 1 (Double): Balcony, Private Bath, Mirror, Private TV",apartment,whole_apartment,3900,,,Ismailia,The Stadium,"3emara 30, El Estad - Wara El Nadi El Egtema3i",3.93 km,Suez Canal University,1,2,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Apartment at Fox,"Rent billed monthly. Nearby: Bakery, Pharmacy, Restaurants & Cafes, Dry Clean / Laundry, Gym, ATM. Room breakdown — Room 1 (Triple): AC, Private Bath, Wardrobe, Mirror, Desk | Room 2 (Triple): Study Desk & Chair, Mini Fridge, AC, Mirror, Private TV",apartment,whole_apartment,5700,,,Ismailia,Fox,"Fox St, Victoria Tower 1 - Ganb El Hayah Market",4.84 km,Suez Canal University,2,6,1,any,True,True,True,False,False,1,,available,imported_ismailia_listings
Apartment at Old University,"Rent billed semester. Nearby: Supermarket / Grocery, Pharmacy, Hospital / Medical Center, Dry Clean / Laundry, Public Transport Station, Gym. Room breakdown — Room 1 (Single): Study Desk & Chair, Iron & Ironing Board, Private TV | Room 2 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View | Room 3 (Single): Mini Fridge, Private TV, Wardrobe, Desk | Room 4 (Single): Balcony, Mirror, Wardrobe, Private TV",apartment,whole_apartment,24200,,,Ismailia,Old University,"Mohamed Ali St, 3emara 10 - Odam Vila El Mohafiz",6.12 km,Suez Canal University,4,4,1,any,True,True,False,True,True,4,,available,imported_ismailia_listings
Apartment at Hay El Salam,"Rent billed semester. Nearby: Church, Pharmacy, Supermarket / Grocery, Public Transport Station, ATM, Dry Clean / Laundry. Room breakdown — Room 1 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View | Room 2 (Single): Wardrobe, Mirror, Window / View, Desk | Room 3 (Single): Balcony, Mirror, Wardrobe, Private TV | Room 4 (Single): Wardrobe, Mirror, Window / View, Desk",apartment,whole_apartment,25950,,,Ismailia,Hay El Salam,"3emara 110, Tanta St",3.28 km,Suez Canal University,4,4,1,any,True,True,False,True,True,4,,available,imported_ismailia_listings
Studio at Hay El Salam,"Rent billed monthly. Nearby: Gym, Bakery, Pharmacy, Supermarket / Grocery, Church, Dry Clean / Laundry. Room breakdown — Room 1 (Double): Private Bath, Balcony, Fan, Mirror",apartment,whole_apartment,3050,,,Ismailia,Hay El Salam,"3emara 242, El Bahary St - Ganb El Kenisa",3.24 km,Suez Canal University,1,2,1,any,True,True,True,False,False,1,,available,imported_ismailia_listings
Studio at Sheikh Zayed,"Rent billed semester. Nearby: Supermarket / Grocery, Bakery, Restaurants & Cafes, Church, ATM, Hospital / Medical Center. Room breakdown — Room 1 (Double): Private Bath, Balcony, Fan, Mirror",apartment,whole_apartment,16600,,,Ismailia,Sheikh Zayed,"El Share3 El Tegari, 3emara 110 - Ganb Gam3 Badr",4.12 km,Suez Canal University,1,2,1,any,True,True,False,True,True,4,,available,imported_ismailia_listings
Studio at Hay El Salam,"Rent billed monthly. Nearby: Church, Dry Clean / Laundry, Supermarket / Grocery, Gym, ATM, Restaurants & Cafes. Room breakdown — Room 1 (Single): Private Bath, Mirror, Desk, Window / View",apartment,whole_apartment,3550,,,Ismailia,Hay El Salam,El Daqahlia St x Tanta St - 3emara 15,3.33 km,Suez Canal University,1,1,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Studio at The Stadium,"Rent billed monthly. Nearby: Hospital / Medical Center, Church, Mosque, Dry Clean / Laundry, Supermarket / Grocery, Public Transport Station. Room breakdown — Room 1 (Single): Private Bath, Mirror, Desk, Window / View",apartment,whole_apartment,3150,,,Ismailia,The Stadium,El Madares St - Ganb Madraset Taffiti,3.04 km,Suez Canal University,1,1,1,any,True,False,True,True,False,1,,available,imported_ismailia_listings
Apartment at Fox,"Rent billed monthly. Nearby: Hospital / Medical Center, Dry Clean / Laundry, Bakery, Church, Gym, Restaurants & Cafes. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Wardrobe | Room 2 (Double): Private Bath, Private TV, Desk, Wardrobe",apartment,whole_apartment,4950,,,Ismailia,Fox,"El Abraj St, Tower 3 - Ganb El Markaz El Tebbi",4.27 km,Suez Canal University,2,4,1,any,False,True,True,True,True,1,,available,imported_ismailia_listings
Apartment at Hay El Salam,"Rent billed monthly. Nearby: Mosque, Restaurants & Cafes, Gym, Pharmacy, Dry Clean / Laundry, Public Transport Station. Room breakdown — Room 1 (Single): Private Bath, Mirror, Desk, Window / View | Room 2 (Single): Balcony, Mirror, Wardrobe, Private TV | Room 3 (Single): Mini Fridge, Private TV, Wardrobe, Desk | Room 4 (Single): Wardrobe, Mirror, Window / View, Desk",apartment,whole_apartment,4950,,,Ismailia,Hay El Salam,"El Bahary St, 3emara 50",3.26 km,Suez Canal University,4,4,1,any,True,True,False,True,True,1,,available,imported_ismailia_listings
Shared Room at El Sabe'a,"Rent billed monthly. Nearby: Hospital / Medical Center, Restaurants & Cafes, Supermarket / Grocery, Gym, Public Transport Station, ATM. Room breakdown — Room 1 (Triple): AC, Private Bath, Wardrobe, Mirror, Desk",room,,,4900,,Ismailia,El Sabe'a,"El Raqaba El Edaria St, 3emara 4 - Odam El Raqaba",1.04 km,Suez Canal University,1,3,1,any,True,False,True,True,True,1,,available,imported_ismailia_listings
Studio at El Sabe'a,"Rent billed monthly. Nearby: ATM, Pharmacy, Church, Public Transport Station, Hospital / Medical Center, Supermarket / Grocery. Room breakdown — Room 1 (Double): Private Bath, Balcony, Fan, Mirror",apartment,whole_apartment,3900,,,Ismailia,El Sabe'a,"El Niqabat St, 3emara 8 - Wara Magma3 El Ma7akem",1.17 km,Suez Canal University,1,2,1,any,True,True,False,True,True,1,,available,imported_ismailia_listings
Studio at El Khamssa,"Rent billed monthly. Nearby: Pharmacy, Gym, Mosque, Hospital / Medical Center, Bakery, Church. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Mirror",apartment,whole_apartment,4350,,,Ismailia,El Khamssa,"El Technology St, 3emara 15 - Wara El Ma3had El Fanni",1.67 km,Suez Canal University,1,2,1,any,True,True,True,False,False,1,,available,imported_ismailia_listings
Apartment at El Mamar,"Rent billed semester. Nearby: Restaurants & Cafes, Pharmacy, ATM, Church, Gym, Hospital / Medical Center. Room breakdown — Room 1 (Double): Balcony, Private Bath, Mirror, Private TV | Room 2 (Double): Private Bath, Balcony, Fan, Mirror | Room 3 (Single): AC, Wardrobe, Mirror, Window / View",apartment,whole_apartment,30100,,,Ismailia,El Mamar,"Bank Misr St, Makkah Tower - Fo2 Cilantro Café",4.83 km,Suez Canal University,3,5,1,any,True,False,True,True,True,4,,available,imported_ismailia_listings
Shared Room at Shebin,"Rent billed monthly. Nearby: ATM, Mosque, Church, Public Transport Station, Pharmacy, Supermarket / Grocery. Room breakdown — Room 1 (Triple): Mini Fridge, AC, Iron & Ironing Board, Mirror, Wardrobe",room,,,5000,,Ismailia,Shebin,El Salam Tower - Nassyet Shebin,2.42 km,Suez Canal University,1,3,1,any,True,True,True,False,True,1,,available,imported_ismailia_listings
Apartment at El Eshreeni,"Rent billed monthly. Nearby: Bakery, Supermarket / Grocery, Dry Clean / Laundry, Mosque, Restaurants & Cafes, Church. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Mirror | Room 2 (Single): AC, Wardrobe, Mirror, Window / View | Room 3 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View",apartment,whole_apartment,6700,,,Ismailia,El Eshreeni,"Al-Amal Bldg, El Eshreeni St - Ganb El Bosta",2.8 km,Suez Canal University,3,4,1,any,True,True,True,False,False,1,,available,imported_ismailia_listings
Apartment at Old University,"Rent billed monthly. Nearby: Restaurants & Cafes, Supermarket / Grocery, ATM, Gym, Public Transport Station, Dry Clean / Laundry. Room breakdown — Room 1 (Triple): Private Bath, Fan, Wardrobe, Window / View, Iron & Ironing Board | Room 2 (Triple): Study Desk & Chair, Mini Fridge, AC, Mirror, Private TV",apartment,whole_apartment,6150,,,Ismailia,Old University,"Mohamed Ali St, 3emara 10 - Odam Vila El Mohafiz",5.96 km,Suez Canal University,2,6,1,any,False,True,True,True,True,1,,available,imported_ismailia_listings
Apartment at El Sabe'a,"Rent billed semester. Nearby: Pharmacy, Church, Restaurants & Cafes, ATM, Mosque, Supermarket / Grocery. Room breakdown — Room 1 (Double): Mini Fridge, Mirror, Desk, Window / View | Room 2 (Double): Mini Fridge, Mirror, Desk, Window / View | Room 3 (Double): Wardrobe, Fan, Window / View, Mirror",apartment,whole_apartment,34100,,,Ismailia,El Sabe'a,"El Raqaba El Edaria St, 3emara 4 - Odam El Raqaba",0.97 km,Suez Canal University,3,6,1,any,True,True,False,True,False,4,,available,imported_ismailia_listings
Studio at Fox,"Rent billed monthly. Nearby: Gym, Bakery, Hospital / Medical Center, ATM, Restaurants & Cafes, Pharmacy. Room breakdown — Room 1 (Double): Balcony, Private Bath, Mirror, Private TV",apartment,whole_apartment,3450,,,Ismailia,Fox,"3emara 12, Fox St",3.84 km,Suez Canal University,1,2,1,any,True,True,True,False,False,1,,available,imported_ismailia_listings
Apartment at Fox,"Rent billed semester. Nearby: Church, Hospital / Medical Center, Restaurants & Cafes, Mosque, Dry Clean / Laundry, Gym. Room breakdown — Room 1 (Double): Private Bath, Private TV, Desk, Wardrobe | Room 2 (Double): Private Bath, Private TV, Desk, Wardrobe | Room 3 (Single): Balcony, Mirror, Wardrobe, Private TV",apartment,whole_apartment,34150,,,Ismailia,Fox,"El Abraj St, Tower 3 - Ganb El Markaz El Tebbi",3.86 km,Suez Canal University,3,5,1,any,True,True,False,True,True,4,,available,imported_ismailia_listings
Apartment at Sheikh Zayed,"Rent billed semester. Nearby: Dry Clean / Laundry, Bakery, Restaurants & Cafes, ATM, Mosque, Hospital / Medical Center. Room breakdown — Room 1 (Triple): Study Desk & Chair, Mini Fridge, AC, Mirror, Private TV | Room 2 (Double): AC, Desk, Iron & Ironing Board, Wardrobe",apartment,whole_apartment,30850,,,Ismailia,Sheikh Zayed,"3emara 25, El Share3 El Tegari - Odam El Bosta",3.88 km,Suez Canal University,2,5,1,any,True,False,True,True,True,4,,available,imported_ismailia_listings
Apartment at The Stadium,"Rent billed monthly. Nearby: Dry Clean / Laundry, Public Transport Station, Mosque, Church, Hospital / Medical Center, Bakery. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Mirror | Room 2 (Double): AC, Desk, Iron & Ironing Board, Mirror | Room 3 (Double): Mini Fridge, Mirror, Desk, Window / View",apartment,whole_apartment,5750,,,Ismailia,The Stadium,"El Madares St, Al-Nour Tower - Ganb Madraset El Loghat",3.3 km,Suez Canal University,3,6,1,any,False,True,True,True,True,1,,available,imported_ismailia_listings
Apartment at El Eshreeni,"Rent billed semester. Nearby: Hospital / Medical Center, Gym, Dry Clean / Laundry, Supermarket / Grocery, Church, Restaurants & Cafes. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Wardrobe | Room 2 (Double): Mini Fridge, Mirror, Desk, Window / View",apartment,whole_apartment,30400,,,Ismailia,El Eshreeni,"3emara 33, Hoda Shaarawy St - Odam El Forn El Aly",2.78 km,Suez Canal University,2,4,1,any,True,True,False,True,False,4,,available,imported_ismailia_listings
Apartment at El Eshreeni,"Rent billed monthly. Nearby: Public Transport Station, Bakery, ATM, Dry Clean / Laundry, Church, Hospital / Medical Center. Room breakdown — Room 1 (Single): Private Bath, Mirror, Desk, Window / View | Room 2 (Single): Wardrobe, Mirror, Window / View, Desk | Room 3 (Single): Private Bath, Mirror, Desk, Window / View | Room 4 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View",apartment,whole_apartment,6350,,,Ismailia,El Eshreeni,"Al-Amal Bldg, El Eshreeni St - Ganb El Bosta",1.15 km,Suez Canal University,4,4,1,any,True,True,True,False,True,1,,available,imported_ismailia_listings
Shared Room at The Stadium,"Rent billed monthly. Nearby: Pharmacy, Restaurants & Cafes, Dry Clean / Laundry, ATM, Bakery, Mosque. Room breakdown — Room 1 (Triple): Mini Fridge, AC, Iron & Ironing Board, Mirror, Wardrobe",room,,,4100,,Ismailia,The Stadium,El Madares St - Ganb Madraset Taffiti,3.88 km,Suez Canal University,1,3,1,any,True,True,True,False,True,1,,available,imported_ismailia_listings
Studio at Hay El Salam,"Rent billed semester. Nearby: Restaurants & Cafes, Dry Clean / Laundry, Church, ATM, Mosque, Supermarket / Grocery. Room breakdown — Room 1 (Double): Private Bath, Balcony, Fan, Mirror",apartment,whole_apartment,17500,,,Ismailia,Hay El Salam,El Daqahlia St x Tanta St - 3emara 15,3.24 km,Suez Canal University,1,2,1,any,True,False,True,True,True,4,,available,imported_ismailia_listings
Apartment at Old University,"Rent billed monthly. Nearby: Public Transport Station, Restaurants & Cafes, Hospital / Medical Center, Bakery, Mosque, Pharmacy. Room breakdown — Room 1 (Double): Wardrobe, Fan, Window / View, Mirror | Room 2 (Double): AC, Desk, Iron & Ironing Board, Mirror | Room 3 (Single): Balcony, Mirror, Wardrobe, Private TV",apartment,whole_apartment,5400,,,Ismailia,Old University,"3emara 20, 1 St - Ganb Kobri El Gam3a",6.11 km,Suez Canal University,3,5,1,any,True,True,True,False,False,1,,available,imported_ismailia_listings
Apartment at El Eshreeni,"Rent billed semester. Nearby: ATM, Dry Clean / Laundry, Mosque, Church, Pharmacy, Restaurants & Cafes. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Mirror | Room 2 (Single): Wardrobe, Mirror, Window / View, Desk | Room 3 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View | Room 4 (Single): Balcony, Mirror, Wardrobe, Private TV",apartment,whole_apartment,46050,,,Ismailia,El Eshreeni,El Eshreeni St x Hoda Shaarawy - Odam Kheir Zaman,1.43 km,Suez Canal University,4,5,1,any,True,True,False,True,True,4,,available,imported_ismailia_listings
Studio at The Stadium,"Rent billed monthly. Nearby: Pharmacy, Hospital / Medical Center, ATM, Gym, Church, Mosque. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Wardrobe",apartment,whole_apartment,3650,,,Ismailia,The Stadium,"Reda St, 3emara 45 - Odam Bawabet El Nadi El Ismaeili",3.91 km,Suez Canal University,1,2,1,any,True,True,True,False,False,1,,available,imported_ismailia_listings
Apartment at Shebin,"Rent billed semester. Nearby: Gym, Church, Restaurants & Cafes, Dry Clean / Laundry, Hospital / Medical Center, Supermarket / Grocery. Room breakdown — Room 1 (Triple): Study Desk & Chair, Mini Fridge, AC, Mirror, Private TV | Room 2 (Double): Balcony, Private Bath, Mirror, Private TV",apartment,whole_apartment,37400,,,Ismailia,Shebin,"3emara 40, Ibrahim Salama St",1.34 km,Suez Canal University,2,5,1,any,True,True,False,True,False,4,,available,imported_ismailia_listings
Studio at Ard El Gami'at,"Rent billed monthly. Nearby: Supermarket / Grocery, Dry Clean / Laundry, Mosque, Pharmacy, ATM, Bakery. Room breakdown — Room 1 (Single): Wardrobe, Mirror, Window / View, Desk",apartment,whole_apartment,3300,,,Ismailia,Ard El Gami'at,"3emara 3, Ard El Gami'at - Ganb Sakan El Talebat",4.2 km,Suez Canal University,1,1,1,any,True,True,False,True,False,1,,available,imported_ismailia_listings
Studio at El Sabe'a,"Rent billed monthly. Nearby: Church, Gym, Dry Clean / Laundry, Supermarket / Grocery, ATM, Hospital / Medical Center. Room breakdown — Room 1 (Double): Mini Fridge, Mirror, Desk, Window / View",apartment,whole_apartment,3650,,,Ismailia,El Sabe'a,"3emara 229, El Horreya St - El Marhala El Sab3a",1.17 km,Suez Canal University,1,2,1,any,True,True,False,True,True,1,,available,imported_ismailia_listings
Apartment at Old University,"Rent billed monthly. Nearby: Dry Clean / Laundry, Bakery, Supermarket / Grocery, Restaurants & Cafes, Church, Public Transport Station. Room breakdown — Room 1 (Single): AC, Wardrobe, Mirror, Window / View | Room 2 (Single): Wardrobe, Mirror, Window / View, Desk | Room 3 (Single): Mini Fridge, Private TV, Wardrobe, Desk | Room 4 (Single): Wardrobe, Mirror, Window / View, Desk",apartment,whole_apartment,4900,,,Ismailia,Old University,"3emara 20, 1 St - Ganb Kobri El Gam3a",5.94 km,Suez Canal University,4,4,1,any,True,True,False,True,True,1,,available,imported_ismailia_listings
Apartment at El Eshreeni,"Rent billed monthly. Nearby: ATM, Restaurants & Cafes, Bakery, Supermarket / Grocery, Church, Hospital / Medical Center. Room breakdown — Room 1 (Triple): Mini Fridge, AC, Iron & Ironing Board, Mirror, Wardrobe | Room 2 (Double): Mini Fridge, Mirror, Desk, Window / View",apartment,whole_apartment,6950,,,Ismailia,El Eshreeni,"3emara 5, El Eshreeni St - Ganb Gam3 El Saleheen",1.72 km,Suez Canal University,2,5,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Studio at El Eshreeni,"Rent billed semester. Nearby: Bakery, Restaurants & Cafes, Hospital / Medical Center, Dry Clean / Laundry, Church, ATM. Room breakdown — Room 1 (Single): Balcony, Mirror, Wardrobe, Private TV",apartment,whole_apartment,19600,,,Ismailia,El Eshreeni,"3emara 5, El Eshreeni St - Ganb Gam3 El Saleheen",1.54 km,Suez Canal University,1,1,1,any,False,True,True,True,False,4,,available,imported_ismailia_listings
Studio at Arishiyat Misr,"Rent billed monthly. Nearby: Mosque, Church, Hospital / Medical Center, Restaurants & Cafes, Public Transport Station, Supermarket / Grocery. Room breakdown — Room 1 (Double): Balcony, Private Bath, Mirror, Private TV",apartment,whole_apartment,4050,,,Ismailia,Arishiyat Misr,"3emara 40, Arishiyat Misr - Ganb El Madrasa El Ebteda2i",5.0 km,Suez Canal University,1,2,1,any,False,True,True,True,True,1,,available,imported_ismailia_listings
